,file_name,init_frame,cop_frame,total_frame,wing_extension_frame,rate,group,light_condition
46,240619_CTR_02_osec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240619-101832_629126.log_vid.avi,364,73339,72974,11432,0.1566585359169019,pIP10_GFP_event,event
47,240619_CTR_03_osec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240619-103426_073282.log_vid.avi,1293,36635,35341,9895,0.27998641804136837,pIP10_GFP_event,event
48,240619_CTR_04_osec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240619-104316_734101.log_vid.avi,285,31549,31263,7716,0.24680932731983496,pIP10_GFP_event,event
49,240619_CTR_05_osec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240619-105235_185055.log_vid.avi,805,19319,18513,5412,0.29233511586452765,pIP10_GFP_event,event
50,240619_CTR_06_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240619-105752_660614.log_vid.avi,974,18496,17521,4470,0.25512242451914846,pIP10_GFP_later,later
51,240619_CTR_07_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240619-110418_579292.log_vid.avi,252,17962,17709,3837,0.21666949008978487,pIP10_GFP_later,later
52,240619_CTR_08_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240619-111252_892226.log_vid.avi,838,20926,20087,3443,0.17140439089958678,pIP10_GFP_later,later
53,240619_CTR_10_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240619-114914_968841.log_vid.avi,426,23027,22600,1272,0.05628318584070797,pIP10_GFP_later,later
54,240619_CTR_12_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240619-123229_942360.log_vid.avi,1005,9410,8404,2501,0.2975963826749167,pIP10_GtACR1_later,later
55,240619_CTR_13_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240619-123704_708785.log_vid.avi,965,54881,53915,16805,0.31169433367337473,pIP10_GtACR1_later,later
56,240619_EXP_14_osec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240619-144131_728840.log_vid.avi,1540,355379,353838,102967,0.2910004013135955,pIP10_GtACR1_event,event
57,240619_EXP_16_osec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240619-160429_503202.log_vid.avi,763,33844,33080,4762,0.1439540507859734,pIP10_GtACR1_event,event
58,240619_EXP_17_osec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240619-173506_625021.log_vid.avi,6744,63072,56327,5847,0.1038045697445275,pIP10_GtACR1_event,event
59,240620_CTR_01_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240620-111128_015214.log_vid.avi,365,14856,14490,2828,0.19516908212560385,pIP10_GFP_event,event
60,240620_CTR_02_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240620-112051_555250.log_vid.avi,210,24205,23994,7501,0.3126198216220722,pIP10_GFP_event,event
61,240620_CTR_03_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240620-113450_515044.log_vid.avi,224,8731,8506,1734,0.20385610157535858,pIP10_GFP_event,event
62,240620_CTR_04_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240620-120732_102103.log_vid.avi,1443,11639,10195,2702,0.26503187837175085,pIP10_GFP_event,event
63,240620_CTR_05_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240620-122712_994579.log_vid.avi,256,12193,11936,3020,0.2530160857908847,pIP10_GFP_later,later
64,240620_CTR_06_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240620-124711_936553.log_vid.avi,259,17500,17240,4968,0.2881670533642691,pIP10_GFP_later,later
65,240620_CTR_07_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240620-125939_518512.log_vid.avi,1037,70245,69207,5352,0.07733321773809007,pIP10_GtACR1_later,later
66,240620_CTR_08_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240620-131830_600128.log_vid.avi,258,204500,204241,75244,0.3684079102628757,pIP10_GtACR1_later,later
67,240620_CTR_09_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240620-135402_303344.log_vid.avi,863,6252,5388,1275,0.2366369710467706,pIP10_GtACR1_later,later
